Title,Status
Home: Buat slider gambar promo,To Do
Home: Sekilas info layanan,To Do
Home: Highlight berita/promo terbaru,To Do
About Us: Profil perusahaan,To Do
About Us: Visi & Misi,To Do
About Us: Struktur Tim,To Do
About Us: Mitra Maskapai,To Do
Gallery: Foto & video destinasi,To Do
Gallery: Album Destinasi Populer,To Do
Gallery: Album Testimoni Customer,To Do
Informasi: Tips traveling hemat,To Do
Informasi: Jadwal penerbangan,To Do
Informasi: Promo & diskon,To Do
Informasi: Pagination,To Do
Informasi: Search artikel,To Do
Download: Jadwal penerbangan PDF,To Do
Download: Brosur wisata,To Do
Download: Syarat & ketentuan,To Do
Download: Formulir booking offline,To Do
Registrasi: Fitur login & daftar,To Do
Registrasi: Lihat promo (user),To Do
Registrasi: Simpan favorit,To Do
Grafik: Pemesanan tiket per bulan,To Do
Grafik: Destinasi favorit,To Do
Grafik: User baru,To Do
Grafik: Tambah filter,To Do
Admin: CRUD berita,To Do
Admin: CRUD gallery,To Do
Admin: CRUD About Us,To Do
Admin: CRUD Download,To Do
Admin: Kelola user,To Do
Admin: Upload grafik,To Do
Admin: Struktur organisasi,To Do
Admin: Manajemen file & slider,To Do
Admin: Ganti template dashboard,To Do
